"COUNTRY","COICOP_1999","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"Myanmar","Miscellaneous goods and services","Monthly","2011-M01",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M02",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M03",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M04",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M05",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M06",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M07",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M08",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M09",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M10",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M11",""
"Myanmar","Miscellaneous goods and services","Monthly","2011-M12",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M01",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M02",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M03",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M04",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M05",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M06",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M07",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M08",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M09",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M10",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M11",""
"Myanmar","Miscellaneous goods and services","Monthly","2012-M12",""
"Myanmar","Miscellaneous goods and services","Monthly","2013-M01","102.081529010413"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M02","103.069671186327"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M03","102.274060366667"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M04","102.840005376743"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M05","101.581408144307"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M06","100.470642353446"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M07","99.8289280809375"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M08","100.046067558626"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M09","100.533149856762"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M10","99.9624735908119"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M11","99.5055314201225"
"Myanmar","Miscellaneous goods and services","Monthly","2013-M12","98.7257622157534"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M01","98.3976173270803"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M02","99.1657154397956"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M03","99.7511822078699"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M04","99.1093027630181"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M05","98.9315818374024"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M06","98.843405664278"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M07","99.992360960306"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M08","100.101017658141"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M09","99.6559185996913"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M10","99.2820666902698"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M11","99.8818449271612"
"Myanmar","Miscellaneous goods and services","Monthly","2014-M12","101.179926404385"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M01","104.373197060201"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M02","105.03803878559"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M03","104.47908921064"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M04","105.035992993233"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M05","106.017916099534"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M06","108.39375415671"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M07","109.051787150135"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M08","110.865540381391"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M09","111.700861527622"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M10","113.776692085245"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M11","112.272993554461"
"Myanmar","Miscellaneous goods and services","Monthly","2015-M12","112.314404091811"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M01","113.781550663845"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M02","115.138504898093"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M03","115.091191432477"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M04","114.249891581897"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M05","114.666124184247"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M06","115.594290032457"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M07","117.250295398959"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M08","118.418161844412"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M09","119.278275888967"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M10","119.014307899597"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M11","119.80475797625"
"Myanmar","Miscellaneous goods and services","Monthly","2016-M12","119.568090552488"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M01","119.934113435492"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M02","120.95285721042"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M03","121.155785790135"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M04","121.656398389891"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M05","121.820757533938"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M06","122.138525550828"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M07","121.898899504879"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M08","122.976741729777"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M09","124.431393072762"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M10","124.038311317416"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M11","124.20422492253"
"Myanmar","Miscellaneous goods and services","Monthly","2017-M12","123.869773704084"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M01","125.039474214928"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M02","124.91214525866"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M03","124.999237875872"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M04","125.443279043912"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M05","125.573511822597"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M06","126.920616957586"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M07","127.488668323732"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M08","128.425624663621"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M09","132.240029592367"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M10","133.304167005301"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M11","134.527601569873"
"Myanmar","Miscellaneous goods and services","Monthly","2018-M12","134.959587966533"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M01","135.790345317971"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M02","137.442712841296"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M03","137.612648409611"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M04","136.99648052849"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M05","137.59460724915"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M06","139.609307889427"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M07","141.912532858854"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M08","145.811143498966"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M09","147.574450333798"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M10","147.576487745735"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M11","146.818961890271"
"Myanmar","Miscellaneous goods and services","Monthly","2019-M12","146.80595736429"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M01","148.341144203871"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M02","149.29"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M03","147.57"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M04","146.785405354086"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M05","149.219990056949"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M06","149.868323957539"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M07","152.020255575896"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M08","154.654690114723"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M09","155.098676580378"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M10","155.375804757169"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M11","154.979826111351"
"Myanmar","Recreation and culture","Monthly","2011-M01",""
"Myanmar","Recreation and culture","Monthly","2011-M02",""
"Myanmar","Recreation and culture","Monthly","2011-M03",""
"Myanmar","Recreation and culture","Monthly","2011-M04",""
"Myanmar","Recreation and culture","Monthly","2011-M05",""
"Myanmar","Recreation and culture","Monthly","2011-M06",""
"Myanmar","Recreation and culture","Monthly","2011-M07",""
"Myanmar","Recreation and culture","Monthly","2011-M08",""
"Myanmar","Recreation and culture","Monthly","2011-M09",""
"Myanmar","Recreation and culture","Monthly","2011-M10",""
"Myanmar","Recreation and culture","Monthly","2011-M11",""
"Myanmar","Recreation and culture","Monthly","2011-M12",""
"Myanmar","Recreation and culture","Monthly","2012-M01",""
"Myanmar","Recreation and culture","Monthly","2012-M02",""
"Myanmar","Recreation and culture","Monthly","2012-M03",""
"Myanmar","Recreation and culture","Monthly","2012-M04",""
"Myanmar","Recreation and culture","Monthly","2012-M05",""
"Myanmar","Recreation and culture","Monthly","2012-M06",""
"Myanmar","Recreation and culture","Monthly","2012-M07",""
"Myanmar","Recreation and culture","Monthly","2012-M08",""
"Myanmar","Recreation and culture","Monthly","2012-M09",""
"Myanmar","Recreation and culture","Monthly","2012-M10",""
"Myanmar","Recreation and culture","Monthly","2012-M11",""
"Myanmar","Recreation and culture","Monthly","2012-M12",""
"Myanmar","Recreation and culture","Monthly","2013-M01","100.261965494669"
