Expenditure_category,TIME_PERIOD,CPI,Energy,YEAR,GDP
All Items,2011-01-01,77.674,120.13082648311,2011,361.418
All Items,2011-02-01,77.618,127.43908847514,2011,361.418
All Items,2011-03-01,77.722,138.374412181,2011,361.418
All Items,2011-04-01,77.992,148.26435485959,2011,361.418
All Items,2011-05-01,78.462,139.06135555093,2011,361.418
All Items,2011-06-01,78.277,138.72306013319,2011,361.418
All Items,2011-07-01,79.433,141.94397979857,2011,361.418
All Items,2011-08-01,80.005,134.60285853754,2011,361.418
All Items,2011-09-01,79.856,135.38982620077,2011,361.418
All Items,2011-10-01,80.183,133.58900883856,2011,361.418
All Items,2011-11-01,80.63,133.96953867159,2011,361.418
All Items,2011-12-01,80.663,131.0925390605,2011,361.418
All Items,2012-01-01,81.412,134.11352856146,2012,377.449
All Items,2012-02-01,81.19,142.7871437031,2012,377.449
All Items,2012-03-01,81.806,147.88340346397,2012,377.449
All Items,2012-04-01,82.245,142.42801169258,2012,377.449
All Items,2012-05-01,82.418,132.27917090896,2012,377.449
All Items,2012-06-01,82.423,115.96677036253,2012,377.449
All Items,2012-07-01,82.614,124.55944939168,2012,377.449
All Items,2012-08-01,83.128,135.37886781029,2012,377.449
All Items,2012-09-01,83.604,135.21456485277,2012,377.449
All Items,2012-10-01,83.434,134.15051036755,2012,377.449
All Items,2012-11-01,83.54,132.33350046751,2012,377.449
All Items,2012-12-01,84.151,132.37473716727,2012,377.449
All Items,2013-01-01,84.315,135.93198153235,2013,395.633
All Items,2013-02-01,85.162,139.79240051329,2013,395.633
All Items,2013-03-01,84.703,132.53688317922,2013,395.633
All Items,2013-04-01,83.448,126.60937469563,2013,395.633
All Items,2013-05-01,83.746,126.30164168444,2013,395.633
All Items,2013-06-01,83.917,125.71450215024,2013,395.633
All Items,2013-07-01,84.151,129.88631425274,2013,395.633
All Items,2013-08-01,84.829,133.04242050068,2013,395.633
All Items,2013-09-01,84.954,133.77322248939,2013,395.633
All Items,2013-10-01,85.088,131.745192966,2013,395.633
All Items,2013-11-01,85.689,130.34830337691,2013,395.633
All Items,2013-12-01,85.417,134.15338102158,2013,395.633
All Items,2014-01-01,85.511,131.21821073733,2014,411.203
All Items,2014-02-01,85.491,133.96655058107,2014,411.203
All Items,2014-03-01,85.719,130.66761978161,2014,411.203
All Items,2014-04-01,85.369,130.67833077146,2014,411.203
All Items,2014-05-01,85.656,132.32730088101,2014,411.203
All Items,2014-06-01,85.513,134.32371694167,2014,411.203
All Items,2014-07-01,85.258,127.94733367714,2014,411.203
All Items,2014-08-01,85.714,122.39020436574,2014,411.203
All Items,2014-09-01,85.556,117.43723625729,2014,411.203
All Items,2014-10-01,85.3,106.77311100541,2014,411.203
All Items,2014-11-01,85.46,97.30346208484,2014,411.203
All Items,2014-12-01,85.363,79.79521568896,2014,411.203
All Items,2015-01-01,85.179,63.74908099905,2015,423.444
All Items,2015-02-01,85.257,73.7661946658,2015,423.444
All Items,2015-03-01,85.463,71.14510517814,2015,423.444
All Items,2015-04-01,84.93,73.35885198935,2015,423.444
All Items,2015-05-01,85.317,79.25739760999,2015,423.444
All Items,2015-06-01,85.225,76.68485816076,2015,423.444
All Items,2015-07-01,84.921,69.97397856757,2015,423.444
All Items,2015-08-01,85.002,60.2653078988,2015,423.444
All Items,2015-09-01,85.003,60.30927899984,2015,423.444
All Items,2015-10-01,84.637,60.50797016356,2015,423.444
All Items,2015-11-01,84.807,55.87089746843,2015,423.444
All Items,2015-12-01,84.814,48.30035030932,2015,423.444
All Items,2016-01-01,84.628,40.85613576544,2016,439.313
All Items,2016-02-01,84.542,42.84032596702,2016,439.313
All Items,2016-03-01,84.577,48.74117216575,2016,439.313
All Items,2016-04-01,84.534,52.27638246936,2016,439.313
All Items,2016-05-01,83.983,57.65393070474,2016,439.313
All Items,2016-06-01,84.607,60.2313572061,2016,439.313
All Items,2016-07-01,84.37,57.27880424145,2016,439.313
All Items,2016-08-01,84.786,58.41562604055,2016,439.313
All Items,2016-09-01,84.794,59.08669511717,2016,439.313
All Items,2016-10-01,84.551,64.394119652,2016,439.313
All Items,2016-11-01,84.822,60.92628963232,2016,439.313
All Items,2016-12-01,84.954,69.58576556728,2016,439.313
All Items,2017-01-01,85.102,70.23070326191,2017,458.981
All Items,2017-02-01,85.1,70.09883077985,2017,458.981
All Items,2017-03-01,85.136,65.93761041425,2017,458.981
All Items,2017-04-01,84.877,67.43688044593,2017,458.981
All Items,2017-05-01,85.164,64.86642013185,2017,458.981
All Items,2017-06-01,85.043,60.60971168123,2017,458.981
All Items,2017-07-01,84.845,62.90735989839,2017,458.981
All Items,2017-08-01,85.129,66.40945721224,2017,458.981
All Items,2017-09-01,85.11,70.74093857992,2017,458.981
All Items,2017-10-01,84.865,73.27645764667,2017,458.981
All Items,2017-11-01,85.358,78.95326292098,2017,458.981
All Items,2017-12-01,85.274,80.82823822651,2017,458.981
All Items,2018-01-01,85.11,87.41186077085,2018,474.825
All Items,2018-02-01,85.51,82.11150234942,2018,474.825
All Items,2018-03-01,85.337,82.81470943499,2018,474.825
All Items,2018-04-01,84.937,88.39745161513,2018,474.825
All Items,2018-05-01,85.466,94.59639606445,2018,474.825
All Items,2018-06-01,85.514,93.66852843184,2018,474.825
All Items,2018-07-01,85.39,93.02886321127,2018,474.825
All Items,2018-08-01,85.749,91.9861252694,2018,474.825
All Items,2018-09-01,85.729,98.72449947898,2018,474.825
All Items,2018-10-01,85.465,100.22216927105,2018,474.825
All Items,2018-11-01,85.606,84.43680708935,2018,474.825
All Items,2018-12-01,85.67,74.89874647623,2018,474.825
All Items,2019-01-01,85.416,76.20477086944,2019,481.035
All Items,2019-02-01,85.901,80.08603918756,2019,481.035
All Items,2019-03-01,85.917,82.22320089448,2019,481.035
All Items,2019-04-01,85.73,86.42673201639,2019,481.035
All Items,2019-05-01,86.221,85.17577272239,2019,481.035
All Items,2019-06-01,85.974,76.33927157328,2019,481.035
All Items,2019-07-01,85.587,77.03842163234,2019,481.035
All Items,2019-08-01,86.123,71.59163373571,2019,481.035
All Items,2019-09-01,86.069,75.5647419957,2019,481.035
All Items,2019-10-01,85.883,72.67367319761,2019,481.035
All Items,2019-11-01,86.16,76.6176460807,2019,481.035
All Items,2019-12-01,86.325,79.07866333164,2019,481.035
All Items,2020-01-01,86.121,76.05782805784,2020,462.685
All Items,2020-02-01,86.183,66.30874082927,2020,462.685
All Items,2020-03-01,85.888,42.6472477596,2020,462.685
All Items,2020-04-01,85.098,31.63231012178,2020,462.685
All Items,2020-05-01,85.502,39.24687580089,2020,462.685
All Items,2020-06-01,85.52,48.5231595002,2020,462.685
All Items,2020-07-01,85.245,51.6497454882,2020,462.685
All Items,2020-08-01,85.787,54.30174528329,2020,462.685
All Items,2020-09-01,86.073,51.16881771972,2020,462.685
All Items,2020-10-01,85.709,51.62079340516,2020,462.685
All Items,2020-11-01,86.047,55.30181595459,2020,462.685
All Items,2020-12-01,86.358,63.74668437007,2020,462.685
All Items,2021-01-01,86.334,69.882566118,2021,507.829
All Items,2021-02-01,86.827,80.38194347312,2021,507.829
All Items,2021-03-01,87.019,80.76523673477,2021,507.829
All Items,2021-04-01,86.875,80.80171766567,2021,507.829
All Items,2021-05-01,87.574,86.28486080925,2021,507.829
All Items,2021-06-01,87.569,93.91895277955,2021,507.829
All Items,2021-07-01,87.398,98.28941653097,2021,507.829
All Items,2021-08-01,87.882,96.32359893158,2021,507.829
All Items,2021-09-01,88.248,107.17858644213,2021,507.829
All Items,2021-10-01,88.5,123.36989210288,2021,507.829
All Items,2021-11-01,89.369,115.00870344115,2021,507.829
All Items,2021-12-01,89.781,112.37295836686,2021,507.829
All Items,2022-01-01,89.81,121.30988558842,2022,528.69
All Items,2022-02-01,90.59,133.31424055374,2022,528.69
All Items,2022-03-01,91.715,166.73239302763,2022,528.69
All Items,2022-04-01,91.594,153.18659162076,2022,528.69
All Items,2022-05-01,92.502,163.63299774551,2022,528.69
All Items,2022-06-01,93.423,173.48221112801,2022,528.69
All Items,2022-07-01,93.563,171.75250650949,2022,528.69
All Items,2022-08-01,94.445,172.77086426625,2022,528.69
All Items,2022-09-01,94.854,158.17363839615,2022,528.69
All Items,2022-10-01,94.475,146.1725229079,2022,528.69
All Items,2022-11-01,95.396,139.44136053757,2022,528.69
All Items,2022-12-01,95.591,130.91804770227,2022,528.69
All Items,2023-01-01,95.772,119.29483540626,2023,538.32
All Items,2023-02-01,96.308,110.53012409471,2023,538.32
All Items,2023-03-01,96.792,103.46584154991,2023,538.32
All Items,2023-04-01,96.869,109.26437084516,2023,538.32
All Items,2023-05-01,97.181,96.90788941533,2023,538.32
All Items,2023-06-01,97.645,95.17403636424,2023,538.32
All Items,2023-07-01,97.417,100.85881612729,2023,538.32
All Items,2023-08-01,98.278,108.71200636355,2023,538.32
All Items,2023-09-01,98.776,117.72930651723,2023,538.32
All Items,2023-10-01,98.974,115.68359866876,2023,538.32
All Items,2023-11-01,98.808,106.19514291231,2023,538.32
All Items,2023-12-01,99.177,99.6081618902,2023,538.32
All Items,2024-01-01,98.752,101.17928818347,2024,561.941
All Items,2024-02-01,99.755,102.22068193194,2024,561.941
All Items,2024-03-01,99.712,104.23481988276,2024,561.941
All Items,2024-04-01,99.426,109.59439107507,2024,561.941
All Items,2024-05-01,100.209,102.61900688816,2024,561.941
All Items,2024-06-01,100.104,103.76640070701,2024,561.941
All Items,2024-07-01,99.818,105.97956577776,2024,561.941
All Items,2024-08-01,100.414,102.64616092659,2024,561.941
All Items,2024-09-01,100.645,95.37315593015,2024,561.941
All Items,2024-10-01,100.119,97.67069300607,2024,561.941
All Items,2024-11-01,100.387,96.51379612081,2024,561.941
All Items,2024-12-01,100.661,96.49865523956,2024,561.941
All Items,2025-01-01,99.908,96.49865523956,2025,574.453
All Items,2025-02-01,100.677,96.49865523956,2025,574.453
All Items,2025-03-01,100.599,96.49865523956,2025,574.453
All Items,2025-04-01,100.283,96.49865523956,2025,574.453
All Items,2025-05-01,100.978,96.49865523956,2025,574.453
All Items,2025-06-01,100.9,96.49865523956,2025,574.453
All Items,2025-07-01,100.447,96.49865523956,2025,574.453
All Items,2025-08-01,100.963,96.49865523956,2025,574.453
All Items,2025-09-01,101.32,96.49865523956,2025,574.453
All Items,2025-10-01,101.33,96.49865523956,2025,574.453
Clothing and footwear,2011-01-01,100.231,120.13082648311,2011,361.418
Clothing and footwear,2011-02-01,100.495,127.43908847514,2011,361.418
Clothing and footwear,2011-03-01,103.109,138.374412181,2011,361.418
Clothing and footwear,2011-04-01,102.626,148.26435485959,2011,361.418
Clothing and footwear,2011-05-01,101.937,139.06135555093,2011,361.418
Clothing and footwear,2011-06-01,98.963,138.72306013319,2011,361.418
Clothing and footwear,2011-07-01,100.504,141.94397979857,2011,361.418
Clothing and footwear,2011-08-01,103.279,134.60285853754,2011,361.418
Clothing and footwear,2011-09-01,101.948,135.38982620077,2011,361.418
Clothing and footwear,2011-10-01,102.573,133.58900883856,2011,361.418
Clothing and footwear,2011-11-01,103.402,133.96953867159,2011,361.418
Clothing and footwear,2011-12-01,100.795,131.0925390605,2011,361.418
Clothing and footwear,2012-01-01,101.542,134.11352856146,2012,377.449
Clothing and footwear,2012-02-01,102.249,142.7871437031,2012,377.449
Clothing and footwear,2012-03-01,104.466,147.88340346397,2012,377.449
Clothing and footwear,2012-04-01,104.011,142.42801169258,2012,377.449
Clothing and footwear,2012-05-01,102.475,132.27917090896,2012,377.449
Clothing and footwear,2012-06-01,100.125,115.96677036253,2012,377.449
Clothing and footwear,2012-07-01,103.069,124.55944939168,2012,377.449
Clothing and footwear,2012-08-01,104.637,135.37886781029,2012,377.449
Clothing and footwear,2012-09-01,104.458,135.21456485277,2012,377.449
Clothing and footwear,2012-10-01,104.708,134.15051036755,2012,377.449
Clothing and footwear,2012-11-01,103.16,132.33350046751,2012,377.449
Clothing and footwear,2012-12-01,103.417,132.37473716727,2012,377.449
Clothing and footwear,2013-01-01,102.874,135.93198153235,2013,395.633
Clothing and footwear,2013-02-01,102.759,139.79240051329,2013,395.633
Clothing and footwear,2013-03-01,105.904,132.53688317922,2013,395.633
